ticker,name,sector,market_cap_usd,adv_usd
MMM,3M,Industrials,0,0
AOS,A. O. Smith,Industrials,0,0
ABT,Abbott Laboratories,Health Care,0,0
ABBV,AbbVie,Health Care,0,0
ACN,Accenture,Technology,0,0
ADBE,Adobe Inc.,Technology,0,0
AMD,Advanced Micro Devices,Technology,0,0
AES,AES Corporation,Utilities,0,0
AFL,Aflac,Financial Services,0,0
A,Agilent Technologies,Health Care,0,0
APD,Air Products,Basic Materials,0,0
ABNB,Airbnb,Consumer Cyclical,0,0
AKAM,Akamai Technologies,Technology,0,0
ALB,Albemarle Corporation,Basic Materials,0,0
ARE,Alexandria Real Estate Equities,Real Estate,0,0
ALGN,Align Technology,Health Care,0,0
ALLE,Allegion,Industrials,0,0
LNT,Alliant Energy,Utilities,0,0
ALL,Allstate,Financial Services,0,0
GOOGL,Alphabet Inc. (Class A),Communication Services,0,0
GOOG,Alphabet Inc. (Class C),Communication Services,0,0
MO,Altria,Consumer Defensive,0,0
AMZN,Amazon,Consumer Cyclical,0,0
AMCR,Amcor,Basic Materials,0,0
AEE,Ameren,Utilities,0,0
AEP,American Electric Power,Utilities,0,0
AXP,American Express,Financial Services,0,0
AIG,American International Group,Financial Services,0,0
AMT,American Tower,Real Estate,0,0
AWK,American Water Works,Utilities,0,0
AMP,Ameriprise Financial,Financial Services,0,0
AME,Ametek,Industrials,0,0
AMGN,Amgen,Health Care,0,0
APH,Amphenol,Technology,0,0
ADI,Analog Devices,Technology,0,0
AON,Aon plc,Financial Services,0,0
APA,APA Corporation,Energy,0,0
APO,Apollo Global Management,Financial Services,0,0
AAPL,Apple Inc.,Technology,0,0
AMAT,Applied Materials,Technology,0,0
APP,AppLovin,Technology,0,0
APTV,Aptiv,Consumer Cyclical,0,0
ACGL,Arch Capital Group,Financial Services,0,0
ADM,Archer Daniels Midland,Consumer Defensive,0,0
ARES,Ares Management,Financial Services,0,0
ANET,Arista Networks,Technology,0,0
AJG,Arthur J. Gallagher & Co.,Financial Services,0,0
AIZ,Assurant,Financial Services,0,0
T,AT&T,Communication Services,0,0
ATO,Atmos Energy,Utilities,0,0
ADSK,Autodesk,Technology,0,0
ADP,Automatic Data Processing,Industrials,0,0
AZO,AutoZone,Consumer Cyclical,0,0
AVB,AvalonBay Communities,Real Estate,0,0
AVY,Avery Dennison,Basic Materials,0,0
AXON,Axon Enterprise,Industrials,0,0
BKR,Baker Hughes,Energy,0,0
BALL,Ball Corporation,Basic Materials,0,0
BAC,Bank of America,Financial Services,0,0
BAX,Baxter International,Health Care,0,0
BDX,Becton Dickinson,Health Care,0,0
BRK-B,Berkshire Hathaway,Financial Services,0,0
BBY,Best Buy,Consumer Cyclical,0,0
TECH,Bio-Techne,Health Care,0,0
BIIB,Biogen,Health Care,0,0
BLK,BlackRock,Financial Services,0,0
BX,Blackstone Inc.,Financial Services,0,0
XYZ,"Block, Inc.",Financial Services,0,0
BK,BNY Mellon,Financial Services,0,0
BA,Boeing,Industrials,0,0
BKNG,Booking Holdings,Consumer Cyclical,0,0
BSX,Boston Scientific,Health Care,0,0
